timestamp,open,high,low,close,volume
1743134400000,2.7518,2.7633,2.6842,2.7081,3615222.7
1743138000000,2.7081,2.7081,2.651,2.6511,2272097.8
1743141600000,2.6511,2.693,2.6356,2.638,1918463.9
1743145200000,2.638,2.6468,2.5761,2.5834,2662243.4
1743148800000,2.5834,2.6134,2.5685,2.6024,1989271.6
1743152400000,2.6024,2.6035,2.555,2.5638,3594538.3
1743156000000,2.5638,2.5723,2.5333,2.5379,1753926.9
1743159600000,2.5379,2.5714,2.5192,2.5534,3928112.6
1743163200000,2.5534,2.5688,2.5201,2.5222,2385965.7
1743166800000,2.5222,2.5564,2.52,2.541,2664651.0
1743170400000,2.541,2.5454,2.5239,2.5407,2540322.3
1743174000000,2.5407,2.5684,2.5359,2.5522,1843607.7
1743177600000,2.5522,2.575,2.5187,2.5328,3026713.7
1743181200000,2.5328,2.5328,2.5034,2.524,2413559.2
1743184800000,2.524,2.5414,2.5135,2.525,1157830.5
1743188400000,2.525,2.5268,2.482,2.4934,1149731.7
1743192000000,2.4934,2.524,2.4813,2.4854,1115668.5
1743195600000,2.4854,2.4997,2.4694,2.4906,894985.0
1743199200000,2.4906,2.5255,2.4906,2.5199,1024372.4
1743202800000,2.5199,2.5199,2.4871,2.5057,679614.6
1743206400000,2.5057,2.5287,2.5003,2.5134,814322.5
1743210000000,2.5134,2.5227,2.4828,2.4974,672450.8
1743213600000,2.4974,2.5065,2.456,2.4708,1073221.3
1743217200000,2.4708,2.5296,2.4698,2.5261,953071.6
1743220800000,2.5261,2.5455,2.5149,2.5238,1563844.5
1743224400000,2.5238,2.5263,2.4885,2.495,636085.7
1743228000000,2.495,2.4964,2.4606,2.4731,895244.1
1743231600000,2.4731,2.4774,2.4305,2.4347,1381245.2
1743235200000,2.4347,2.462,2.4298,2.4463,888189.0
1743238800000,2.4463,2.4479,2.38,2.3984,4264106.8
1743242400000,2.3984,2.4006,2.3561,2.3641,2828851.2
1743246000000,2.3641,2.3719,2.278,2.3051,4002007.8
1743249600000,2.3051,2.3188,2.2884,2.2929,4553094.9
1743253200000,2.2929,2.3451,2.2915,2.3447,3945762.2
1743256800000,2.3447,2.3455,2.2843,2.2979,4259097.4
1743260400000,2.2979,2.3225,2.2913,2.2935,2667504.1
1743264000000,2.2935,2.333,2.2931,2.3085,1447805.8
1743267600000,2.3085,2.3095,2.2465,2.2809,4625245.0
1743271200000,2.2809,2.2949,2.2689,2.2699,862548.1
1743274800000,2.2699,2.2875,2.2609,2.2875,1343342.9
1743278400000,2.2875,2.2881,2.2576,2.2634,1109142.3
1743282000000,2.2634,2.3016,2.2633,2.2937,613086.2
1743285600000,2.2937,2.2992,2.2735,2.2916,497784.4
1743289200000,2.2916,2.3169,2.285,2.309,567165.5
1743292800000,2.309,2.3101,2.2794,2.2956,787892.4
1743296400000,2.2956,2.3239,2.2918,2.3029,652755.6
1743300000000,2.3029,2.3777,2.2984,2.3694,2924684.6
1743303600000,2.3694,2.4369,2.3663,2.3787,4119413.7
1743307200000,2.3787,2.4398,2.3774,2.4162,1675270.6
1743310800000,2.4162,2.4542,2.4109,2.4184,1309936.5
1743314400000,2.4184,2.421,2.3775,2.4111,1781564.5
1743318000000,2.4111,2.417,2.3867,2.4008,981562.6
1743321600000,2.4008,2.4424,2.3999,2.4406,1036041.7
1743325200000,2.4406,2.4442,2.3887,2.3998,1326635.7
1743328800000,2.3998,2.4114,2.3708,2.3792,1871349.6
1743332400000,2.3792,2.3961,2.3573,2.3693,1530865.0
1743336000000,2.3693,2.3826,2.358,2.365,1324962.5
1743339600000,2.365,2.3728,2.3219,2.3227,3977342.0
1743343200000,2.3227,2.3547,2.3059,2.3467,2974263.7
1743346800000,2.3467,2.3757,2.3396,2.3677,675360.0
1743350400000,2.3677,2.3759,2.319,2.3322,1149119.7
1743354000000,2.3322,2.3461,2.3126,2.3365,993907.9
1743357600000,2.3365,2.3754,2.3365,2.3741,529472.2
1743361200000,2.3741,2.3859,2.3561,2.3598,1049948.8
1743364800000,2.3598,2.3611,2.3368,2.3448,913581.3
1743368400000,2.3448,2.3627,2.3228,2.3311,578179.7
1743372000000,2.3311,2.3853,2.3086,2.3626,1419110.9
1743375600000,2.3626,2.3652,2.315,2.3501,1700714.3
1743379200000,2.3501,2.3552,2.2692,2.2911,2992729.7
1743382800000,2.2911,2.3375,2.2875,2.3257,845555.6
1743386400000,2.3257,2.3444,2.2997,2.3271,669592.6
1743390000000,2.3271,2.3423,2.2726,2.2767,906590.7
1743393600000,2.2767,2.2929,2.2524,2.2893,1064202.6
1743397200000,2.2893,2.3192,2.281,2.286,822882.6
1743400800000,2.286,2.2932,2.2651,2.2749,686479.2
1743404400000,2.2749,2.2945,2.2332,2.2561,1496825.4
