post_id,date,title,category,url,coin_name,ticker,metric,value
165,2025-11-15T03:19:14+09:00,암호화폐(코인)투자 가이드 금리란?,카테고리 없음,https://mingogogo.tistory.com/165,현금,USDT,pct,5.0
165,2025-11-15T03:19:14+09:00,암호화폐(코인)투자 가이드 금리란?,카테고리 없음,https://mingogogo.tistory.com/165,현금,USDT,pct,15.0
165,2025-11-15T03:19:14+09:00,암호화폐(코인)투자 가이드 금리란?,카테고리 없음,https://mingogogo.tistory.com/165,스테이블코인,USDT,pct,20.0
165,2025-11-15T03:19:14+09:00,암호화폐(코인)투자 가이드 금리란?,카테고리 없음,https://mingogogo.tistory.com/165,현금,USDT,pct,60.0
181,2025-11-23T12:23:49+09:00,11월23일 브리핑,코인 프로그램 인증,https://mingogogo.tistory.com/181,제로지,OG,pct,14.0
182,2025-11-23T22:39:06+09:00,파밍 코인분석기 후기 [데이터 분석] 급등 신호 포착!,코인 프로그램 인증,https://mingogogo.tistory.com/182,크레딧코인,CTC,pct,31.0
182,2025-11-23T22:39:06+09:00,파밍 코인분석기 후기 [데이터 분석] 급등 신호 포착!,코인 프로그램 인증,https://mingogogo.tistory.com/182,토시,TOSHI,pct,13.0
214,2025-11-27T23:31:21+09:00,2025 추천 리스트,수익율 인증공간 날자별 최대 3일후까지,https://mingogogo.tistory.com/214,제로지,0G,pct,17.55
216,2025-11-27T23:53:30+09:00,11월 13일 오전 7시 58분 추천리스트 수익율 체크,수익율 인증공간 날자별 최대 3일후까지,https://mingogogo.tistory.com/216,제로지,0G,pct,18.23
238,2025-11-30T22:52:44+09:00,7월23일 추천 리스트 3일간 인증,수익율 인증공간 날자별 최대 3일후까지,https://mingogogo.tistory.com/238,헌트,HUNT,pct,11.4
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,아하토큰,AHT,score,82
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,앵커,ANKR,score,100
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,센트리퓨즈,CFG,score,81
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,디카르고,DKA,score,166
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,스페이스아이디,ID,pct,4.4
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,스페이스아이디,ID,score,173
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,이뮤터블엑스,IMX,pct,3.8
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,카이트,KITE,score,90
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,라이브피어,LPT,score,168
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,메테오라,MET2,pct,195.9
308,2026-04-13T10:09:31+09:00,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,온톨로지가스,ONG,pct,7.8
