action_hits,crypto_context_hits,datetime_candidates,external_link_count,external_links,first_scraped_at,hashtags,is_crypto_related,is_spam_like,is_usable_for_program,mentions,meta_error,post_id,seeds,source_kind,sources,strategy_score,strategy_tags,text,time_labels,title,url,username
2,2,['2026-04-14T22:32:16.000Z'],0,[],2026-04-20T02:54:26.935822+00:00,[],True,False,True,[],,DXIQNC8Esve,['암호화폐'],threads_post,['search'],4,['execution_discipline'],"비트코인 급등 이유는?

사람들이 억지로 사게 만들어서 오름.

7만6천 달러를 찍은 상승

겉으로 보면 호재

근데 실제로는 공매도 6.5억 달러 청산",['5일'],블록체인 (@bc_co_kr) on Threads,https://www.threads.com/@bc_co_kr/post/DXIQNC8Esve,bc_co_kr
1,2,['2026-04-19T23:42:11.000Z'],0,[],2026-04-20T02:55:52.292694+00:00,[],True,False,True,[],,DXVQRmPkvm2,['cryptohouzi'],threads_post,['profile'],3,['execution_discipline'],"1. 이더리움 리스테이킹 프로토콜인 Kelp DAO에서 rsETH 관련 의심스러운 크로스체인 활동이 포착되었습니다. 이로 인해 메인넷 및 여러 레이어2(L2)의 rsETH 계약이 즉시 중단되었으며 현재 공격 사건에 대한 조사가 진행 중입니다.

2. Kelp DAO 사태의 여파로 대출 플랫폼인 Aave에서 하루 만에 약 66억 달러(한화 약 9조 원)의 자금이 빠져나갔습니다. 이 중 절반인 33억 달러가 스테이블코인이며, Aave의 거버넌스 토큰인 AAVE 가격 또한 하루 만에 18% 이상 급락했습니다.

3. Spark Protocol의 전략 책임자는 rsETH 보안 사고가 단순 사고를 넘어 스테이블코인 시장의 유동성을 위축시키고 있으며, 이로 인해 DeFi 전체 시장에 '등급별 연쇄 청산 위기'가 닥칠 수 있다고 경고했습니다.",['3시간'],CryptoHouzi (@cryptohouzi) on Threads,https://www.threads.com/@cryptohouzi/post/DXVQRmPkvm2,cryptohouzi
1,2,['2026-04-18T23:32:56.000Z'],0,[],2026-04-20T02:55:52.292694+00:00,[],True,False,True,[],,DXSqcZfEnud,['cryptohouzi'],threads_post,['profile'],3,['macro_signal'],"1. 중동 지역의 갈등이 다시 격해지면서 비트코인 가격이 약 7.6만 달러 선으로 하락했습니다. 특히 이란 해군이 호르무즈 해협을 다시 폐쇄하고 모든 선박의 통행을 금지한다는 소식이 시장에 큰 충격과 변동성을 불러일으키고 있습니다.

2. 대외적인 불안 요소에도 불구하고, 비트코인 현물 ETF에는 어제 하루 동안 6.64억 달러가 순유입되었습니다. 이는 4일 연속 순유입세를 기록한 것으로, 기관 투자자들의 강력한 매수세가 하방 지지선을 형성하고 있음을 보여줍니다.

3. 이더리움 현물 ETF 역시 1.27억 달러의 순유입을 기록하며 7일 연속 자금 유입세를 이어갔습니다. 비트코인과 마찬가지로 이더리움에 대한 기관의 장기적인 신뢰가 지속되고 있습니다.

🔗 상세 내용은 PANews, BlockBeats 원문 참고",['1일'],CryptoHouzi (@cryptohouzi) on Threads,https://www.threads.com/@cryptohouzi/post/DXSqcZfEnud,cryptohouzi
1,2,['2026-02-07T07:06:49.000Z'],0,[],2026-04-20T02:52:51.528277+00:00,[],True,False,True,[],,DUcp1A7kUM_,['crypto trading'],threads_post,['search'],3,['execution_discipline'],"$BTC sorry guys I don't make the rules.

I was off by $2K, but I managed to predict this in November 2024. 

In the meantime I was away from crypto, trading only stocks. 

This helped my sanity alot to be buying stuff that don't crash -50% in 1 day.",['2026-02-07'],Ben // Tradenalytics (@tradenalytics) on Threads,https://www.threads.com/@tradenalytics/post/DUcp1A7kUM_,tradenalytics
1,1,['2026-04-19T23:42:11.000Z'],0,[],2026-04-20T02:55:52.292694+00:00,[],True,False,True,[],,DXVQW6eEoHs,['cryptohouzi'],threads_post,['profile'],3,['execution_discipline'],"💡개인적 견해 : 미국과 이란의 협상이 난항을 겪고 있는 가운데 이더리움 리스테이킹 프로토콜인 Kelp DAO 사태가 터지며 시장에 영향을 미치고 있습니다. 이로써 최소저항선을 지지하며 상승하던 시세가 눌리며 연쇄 청산의 위험이 불거지고 있습니다. 크립토 투자자는 며칠 간 심한 변동성에 노출될 수 있으니 유의해야 할 것으로 보입니다.

 🔗 상세 내용은 PANews, BlockBeats 원문 참고",['3시간'],CryptoHouzi (@cryptohouzi) on Threads,https://www.threads.com/@cryptohouzi/post/DXVQW6eEoHs,cryptohouzi
1,3,['2026-04-19T08:38:01.000Z'],0,[],2026-04-20T02:51:11.206881+00:00,[],True,False,True,[],,DXQOU6SAVKp,"['#bitcoin', 'lastdance2050']",threads_post,"['search', 'profile']",3,['risk_management'],"$BTC

비트코인 달라진 것은 없었고 뻔한자리

1월 말에 있었던 97k처럼 78k까지 올리는 것은 충분히 가능한 구간이였고 테스트 자리였음

올릴때 마다 공매도로 대응하여 매집했을 때 오히려 리스크가 거의 없는 구간임

이제는 84k CME gap 채우러 간다고 하지만 모두가 생각하고 원하는 자리는 도달하기 어려울 가능성이 크다

상승에 대한 되돌림으로 이제부터 하방으로 내려갈 것",['18시간'],LastDance (@lastdance2050) on Threads,https://www.threads.com/@lastdance2050/post/DXQOU6SAVKp,lastdance2050
1,4,['2026-04-17T00:46:18.000Z'],0,[],2026-04-20T02:50:34.536777+00:00,[],True,False,True,[],,DXNpIYnkhMy,"['ethereum', 'cryptohouzi']",threads_post,"['search', 'profile']",3,['execution_discipline'],"크립토 '핵심 뉴스' 딱 3가지만 챙겨가세요!✅

📉 미 국회 'CLARITY Act(가상자산 법안)' 협상 최종 단계 진입

📉 모건스탠리 디지털 자산 책임자, ""가상자산은 이제 기업의 일상적 비즈니스""

📉 ETH/BTC 비율 10주 최고치 기록… ""이더리움의 반격 시작""",['3일'],CryptoHouzi (@cryptohouzi) on Threads,https://www.threads.com/@cryptohouzi/post/DXNpIYnkhMy,cryptohouzi
1,3,['2026-04-19T22:30:36.000Z'],0,[],2026-04-20T02:55:44.613018+00:00,[],True,False,True,[],,DXVIAPjAVch,['easyinvest2040'],threads_post,['profile'],3,['execution_discipline'],"(2/2)

비트코인 = 가치 저장 수단 용도
이더리움 = RWA 플랫폼 + 가치저장 + DeFi 담보 + 스테이킹 이자수익

블랙록 $2.3B 진입
JP모건·UBS 파일럿 진행 중
스탠차드 2030년 토큰화 시장 30조 달러 전망",['4시간'],쉬운투자 (@easyinvest2040) on Threads,https://www.threads.com/@easyinvest2040/post/DXVIAPjAVch,easyinvest2040
1,2,['2026-04-19T23:42:11.000Z'],0,[],2026-04-20T02:55:52.292694+00:00,[],True,False,True,[],,DXVQLfIku9s,['cryptohouzi'],threads_post,['profile'],3,['execution_discipline'],"크립토 '핵심 뉴스' 딱 3가지만 챙겨가세요!✅

📉 Kelp DAO 보안 사고 및 rsETH 계약 중단

📉 Kelp DAO 사태 여파로 Aave 자금 대규모 유출 (약 66억 달러)

📉 DeFi 시장 연쇄 청산 위기 경고",['3시간'],CryptoHouzi (@cryptohouzi) on Threads,https://www.threads.com/@cryptohouzi/post/DXVQLfIku9s,cryptohouzi
